상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도
커피농장의하루,음식,비알코올 ,카페,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 능동로3다길 1,127.0653129,37.53376495
양자강,음식,중식,중국집,서울특별시,광진구,군자동,군자동,서울특별시 광진구 동일로60길 8,127.0738563,37.55839492
영남떡,음식,기타 간이,떡/한과,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양로13나길 11,127.0803396,37.53370272
마실리아,음식,주점,생맥주 전문,서울특별시,광진구,화양동,화양동,서울특별시 광진구 동일로22길 86,127.0687856,37.54111794
37.5,음식,비알코올 ,카페,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로76가길 5,127.1075944,37.54719336
수육주는순대국,음식,한식,국/탕/찌개류,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 면목로13길 3,127.0824671,37.56875213
장수손두부,음식,한식,백반/한정식,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 영화사로13길 4,127.0938099,37.55472029
퍼주고대박나는집,음식,한식,백반/한정식,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 뚝섬로 621,127.0787488,37.53241083
일번지묵집,음식,한식,백반/한정식,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 능동로47길 30,127.0811044,37.56357852
유정,음식,주점,요리 주점,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 면목로 87,127.0786626,37.56147807
명륜진사갈비,음식,한식,돼지고기 구이/찜,서울특별시,광진구,능동,능동,서울특별시 광진구 능동로36길 187,127.0886081,37.55249971
더개미,음식,한식,백반/한정식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로16길 60,127.0762826,37.54522255
전주집,음식,한식,백반/한정식,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양로13길 20,127.0828312,37.53535301
채선당도시락&샐러드,음식,한식,백반/한정식,서울특별시,광진구,화양동,화양동,서울특별시 광진구 아차산로 205,127.0663683,37.54167553
행운떡,음식,기타 간이,떡/한과,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 뚝섬로55길 39,127.0814357,37.53289129
곰곰탕,음식,한식,국/탕/찌개류,서울특별시,광진구,중곡3동,중곡동,서울특별시 광진구 능동로 430,127.0852361,37.56725986
미니호프,음식,주점,요리 주점,서울특별시,광진구,자양4동,자양동,서울특별시 광진구 동일로18길 102,127.0681766,37.53822076
식물원복합식당,음식,기타 간이,김밥/만두/분식,서울특별시,광진구,능동,능동,서울특별시 광진구 능동로 216,127.0787567,37.55199976
향만원,음식,중식,중국집,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 자양로19길 42,127.0810639,37.53829472
더꼬치다,음식,한식,닭/오리고기 구이/찜,서울특별시,광진구,자양1동,자양동,서울특별시 광진구 뚝섬로 613,127.0779305,37.53270179
육회공작소,음식,한식,소고기 구이/찜,서울특별시,광진구,화양동,화양동,서울특별시 광진구 군자로 50,127.0705953,37.54756571
고망고건대,음식,비알코올 ,카페,서울특별시,광진구,화양동,화양동,서울특별시 광진구 능동로 127,127.0714079,37.54226491
종로떡짐,음식,기타 간이,떡/한과,서울특별시,광진구,중곡1동,중곡동,서울특별시 광진구 능동로47길 15,127.0816986,37.5631146
